Query,Score,Suggestion,
کار نکردن سیستم   ,,2,
عدم اتصال اینترنت   ,,2,
عدم ارسال SMS   ,,2,
گزارش خرابی مکرر   ,,2,
نویز در صدا   ,,2,
غیر فعال شدن ناگهانی   ,,2,
مشکلات گارانتی   ,,2,
عدم شارژ شدن دستگاه   ,,2,
قطع و وصل مداوم   ,,2,
عدم پاسخگویی به درخواست‌ها   ,,2,
مشکلات VPN   ,,2,
عدم رجیستر شدن سیم کارت   ,,2,
عدم پرداخت موفق   ,,2,
لغو خدمات بدون اطلاع  ,,2,
کیفیت عالی    ,,1,
قیمت مناسب    ,,1,
تجربه کاربری خوب    ,,1,
تنوع محصولات    ,,1,
ارسال رایگان    ,,1,
خدمات مشاوره‌ای    ,,1,
تخفیف‌های ویژه    ,,1,
بسته‌بندی زیبا    ,,1,
دسترسی آسان    ,,1,
پاسخگویی مؤثر    ,,1,
محیط خرید دلپذیر    ,,1,
انتخاب آسان    ,,1,
اطلاعات دقیق محصول    ,,1,
شفافیت در قیمت‌گذاری    ,,1,
نوآوری در خدمات    ,,1,
قابلیت شخصی‌سازی    ,,1,
رضایت کامل    ,,1,
خدمات آنلاین سریع    ,,1,
پشتیبانی 24 ساعته    ,,1,
به‌روزرسانی‌های منظم    ,,1,
تجربه خرید آنلاین راحت     ,,1,
معرفی محصولات جدید     ,,1,
خدمات ویژه برای مشتریان وفادار     ,,1,
اطمینان از اصل بودن کالا     ,,1,
ایجاد حس اعتماد     ,,1,
گارانتی بازگشت وجه     ,,1,
تنوع در روش‌های پرداخت     ,,1,
خدمات نصب رایگان     ,,1,
محتوای آموزشی مفید     ,,1,
ارسال سریع و مطمئن    ,,1,
کیفیت پایین      ,,2,
قیمت‌های بالا      ,,2,
عدم تنوع محصولات      ,,2,
هزینه‌های پنهان      ,,2,
تاخیر در ارسال      ,,2,
عدم پاسخگویی به شکایات      ,,2,
مشکلات در پرداخت آنلاین      ,,2,
عدم شفافیت در شرایط گارانتی      ,,2,
قطع خدمات بدون اطلاع قبلی      ,,2,
عدم تطابق کالا با توضیحات      ,,2,
خرابی زودهنگام محصول      ,,2,
عدم وجود پشتیبانی فنی      ,,2,
مشکلات در بازگشت کالا      ,,2,
عدم هماهنگی در زمان تحویل      ,,2,
خدمات ضعیف مشتری      ,,2,
بی‌توجهی به نظرات مشتریان      ,,2,
عدم تطابق رنگ یا مدل      ,,2,
مشکلات در نصب و راه‌اندازی      ,,2,
عدم ارائه فاکتور رسمی      ,,2,
تبلیغات گمراه‌کننده       ,,2,
عدم وجود اطلاعات کافی درباره محصول       ,,2,
عدم رعایت زمانبندی خدمات       ,,2,
مشکلات در فعالسازی سیم کارت       ,,2,
عدم امکان پیگیری سفارشات       ,,2,
خدمات پس از فروش ضعیف       ,,2,
عدم ارائه مشاوره مناسب       ,,2,
قطع ناگهانی اینترنت یا سرویس‌ها       ,,2,
مشکلات امنیتی در پرداخت‌ها       ,,2,
عدم وجود پشتیبانی محلی       ,,2,
بی‌نظمی در مدیریت موجودی,,2,
بی نظمی,,2,
حال خوب,,1,
افتضاح,,2,
خرید موفق  ,,1,
تحویل به موقع  ,,1,
فعالسازی سریع  ,,1,
گارانتی معتبر  ,,1,
افزایش سرعت  ,,1,
اتصال پایدار  ,,1,
خدمات عالی  ,,1,
رضایت مشتری  ,,1,
پشتیبانی قوی  ,,1,
تجربه خرید لذت‌بخش  ,,1,
ارتقاء به 5 جی  ,,1,
دریافت کد فعال‌سازی  ,,1,
پیامک موفق  ,,1,
تعویض آسان  ,,1,
تبلیغات مفید  ,,1,
شارژ سریع  ,,1,
خدمات پس از فروش عالی  ,,1,
ارائه خدمات ویژه  ,,1,
اطمینان از کیفیت  ,,1,
پاسخگویی سریع  ,,1,
کیفیت عالی  ,,1,
قیمت مناسب  ,,1,
تجربه کاربری خوب  ,,1,
تنوع محصولات  ,,1,
ارسال رایگان  ,,1,
خدمات مشاوره‌ای  ,,1,
تخفیف‌های ویژه  ,,1,
بسته‌بندی زیبا  ,,1,
دسترسی آسان  ,,1,
پاسخگویی مؤثر  ,,1,
محیط خرید دلپذیر  ,,1,
انتخاب آسان  ,,1,
اطلاعات دقیق محصول  ,,1,
شفافیت در قیمت‌گذاری  ,,1,
نوآوری در خدمات  ,,1,
قابلیت شخصی‌سازی  ,,1,
رضایت کامل  ,,1,
خدمات آنلاین سریع  ,,1,
پشتیبانی 24 ساعته  ,,1,
به‌روزرسانی‌های منظم  ,,1,
تجربه خرید آنلاین راحت  ,,1,
معرفی محصولات جدید  ,,1,
خدمات ویژه برای مشتریان وفادار  ,,1,
اطمینان از اصل بودن کالا  ,,1,
ایجاد حس اعتماد  ,,1,
گارانتی بازگشت وجه  ,,1,
تنوع در روش‌های پرداخت  ,,1,
خدمات نصب رایگان  ,,1,
محتوای آموزشی مفید  ,,1,
ارسال سریع و مطمئن  ,,1,
عدم تحویل به موقع  ,,2,
قطع سرویس ناگهانی  ,,2,
خرابی مکرر  ,,2,
عدم آنتن‌دهی  ,,2,
تاخیر در خدمات  ,,2,
عدم دریافت پیامک  ,,2,
کار نکردن سیستم  ,,2,
عدم اتصال اینترنت  ,,2,
عدم ارسال SMS  ,,2,
گزارش خرابی مکرر  ,,2,
نویز در صدا  ,,2,
غیر فعال شدن ناگهانی  ,,2,
مشکلات گارانتی  ,,2,
عدم شارژ شدن دستگاه  ,,2,
قطع و وصل مداوم  ,,2,
عدم پاسخگویی به درخواست‌ها  ,,2,
مشکلات VPN  ,,2,
عدم رجیستر شدن سیم کارت  ,,2,
عدم پرداخت موفق  ,,2,
لغو خدمات بدون اطلاع  ,,2,
کیفیت پایین  ,,2,
قیمت‌های بالا  ,,2,
عدم تنوع محصولات  ,,2,
هزینه‌های پنهان  ,,2,
تاخیر در ارسال  ,,2,
عدم پاسخگویی به شکایات  ,,2,
مشکلات در پرداخت آنلاین  ,,2,
عدم شفافیت در شرایط گارانتی  ,,2,
قطع خدمات بدون اطلاع قبلی  ,,2,
عدم تطابق کالا با توضیحات  ,,2,
خرابی زودهنگام محصول  ,,2,
عدم وجود پشتیبانی فنی  ,,2,
مشکلات در بازگشت کالا  ,,2,
عدم هماهنگی در زمان تحویل  ,,2,
خدمات ضعیف مشتری  ,,2,
بی‌توجهی به نظرات مشتریان  ,,2,
عدم تطابق رنگ یا مدل  ,,2,
مشکلات در نصب و راه‌اندازی  ,,2,
عدم ارائه فاکتور رسمی  ,,2,
تبلیغات گمراه‌کننده,,2,
کم شدن نویز,,1,
کم شدن کندی شبکه,,1,
برطرف شدن مشکل,,1,
شبکه کنده,,2,
اینترنت کنده,,2,
کنده,,2,
سرعت شبکه ضعیفه,,2,
سرعت نت ضعیفه,,2,
کم شدن سرعت اینترنت,,2,
کم شدن,,2,
برطرف شدن مشکل اینترنت,,2,
بهبود سرعت اینترنت,,1,
برطرف شدن کندی اینترنت,,1,
علت کندی اینترنت,,2,
علت قطعی اینترنت,,2,
فعال سازی طرح,,1,
علت خرابی,,2,
علت عدم آنتن دهی,,2,
علت خرابی,,2,
فعال سازی,,1,
عدم پاسخگویی,,2,
علت بوق نخوردن خط,,2,
چرا اینترنت ضعیفه,,2,
