Query,Value,Date,Keyword,Type
خرید اینترنتی کارت شارژ ایرانسل,+70%,2010-03-01,ایرانسل, RISING
شارژ ایرانسل از طریق اینترنت,+60%,2010-03-01,ایرانسل, RISING
سایت همراه اول,+50%,2010-03-01,ایرانسل, RISING
شارژ همراه اول,+40%,2010-03-01,ایرانسل, RISING
کدهای مخفی ایرانسل,+40%,2010-03-01,ایرانسل, RISING
شارژ همراه اول,100,2010-03-01,همراه اول, TOP
سایت همراه اول,41,2010-03-01,همراه اول, TOP
خرید شارژ همراه اول,28,2010-03-01,همراه اول, TOP
ایرانسل,20,2010-03-01,همراه اول, TOP
کارت شارژ همراه اول,19,2010-03-01,همراه اول, TOP
قبض همراه اول,16,2010-03-01,همراه اول, TOP
اینترنت همراه اول,14,2010-03-01,همراه اول, TOP
همراه اول صورتحساب,14,2010-03-01,همراه اول, TOP
همراه اول قرعه کشی,12,2010-03-01,همراه اول, TOP
خريد شارژ همراه اول,11,2010-03-01,همراه اول, TOP
سايت همراه اول,11,2010-03-01,همراه اول, TOP
برندگان همراه اول,11,2010-03-01,همراه اول, TOP
مخابرات,10,2010-03-01,همراه اول, TOP
خرید کارت شارژ همراه اول,9,2010-03-01,همراه اول, TOP
شارژ اینترنتی همراه اول,9,2010-03-01,همراه اول, TOP
پردیس همراه اول,9,2010-03-01,همراه اول, TOP
www.mci.ir,8,2010-03-01,همراه اول, TOP
شارز همراه اول,7,2010-03-01,همراه اول, TOP
ثبت نام همراه اول,7,2010-03-01,همراه اول, TOP
شرکت همراه اول,6,2010-03-01,همراه اول, TOP
خدمات همراه اول,5,2010-03-01,همراه اول, TOP
اسامی برندگان همراه اول,5,2010-03-01,همراه اول, TOP
خرید اینترنتی شارژ همراه اول,5,2010-03-01,همراه اول, TOP
صورت حساب همراه اول,4,2010-03-01,همراه اول, TOP
تعرفه همراه اول,4,2010-03-01,همراه اول, TOP
پرديس همراه اول,Breakout,2010-03-01,همراه اول, RISING
پردیس همراه اول,+800%,2010-03-01,همراه اول, RISING
خريد شارژ همراه اول,+170%,2010-03-01,همراه اول, RISING
اینترنت همراه اول,+130%,2010-03-01,همراه اول, RISING
صورت حساب همراه اول,+90%,2010-03-01,همراه اول, RISING
شارژ همراه اول,+70%,2010-03-01,همراه اول, RISING
خدمات همراه اول,+70%,2010-03-01,همراه اول, RISING
تعرفه همراه اول,+70%,2010-03-01,همراه اول, RISING
خرید شارز همراه اول,+60%,2010-03-01,همراه اول, RISING
شارز همراه اول,+50%,2010-03-01,همراه اول, RISING
کارت شارژ همراه اول,+50%,2010-03-01,همراه اول, RISING
ایرانسل,+50%,2010-03-01,همراه اول, RISING
خريد كارت شارژ همراه اول,+50%,2010-03-01,همراه اول, RISING
خرید شارژ همراه اول,+40%,2010-03-01,همراه اول, RISING
ایرانسل شارژ,100,2010-04-01,ایرانسل, TOP
خرید شارژ ایرانسل,40,2010-04-01,ایرانسل, TOP
سایت ایرانسل,31,2010-04-01,ایرانسل, TOP
وایمکس,29,2010-04-01,ایرانسل, TOP
وایمکس ایرانسل,28,2010-04-01,ایرانسل, TOP
کارت شارژ ایرانسل,21,2010-04-01,ایرانسل, TOP
اینترنت ایرانسل,14,2010-04-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,12,2010-04-01,ایرانسل, TOP
شارز ایرانسل,9,2010-04-01,ایرانسل, TOP
ثبت نام ایرانسل,9,2010-04-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,8,2010-04-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,8,2010-04-01,ایرانسل, TOP
آهنگ پیشواز,6,2010-04-01,ایرانسل, TOP
خرید اینترنتی شارژ ایرانسل,6,2010-04-01,ایرانسل, TOP
کدهای ایرانسل,6,2010-04-01,ایرانسل, TOP
خدمات ایرانسل,5,2010-04-01,ایرانسل, TOP
شارژ رایگان ایرانسل,5,2010-04-01,ایرانسل, TOP
ترفند ایرانسل,5,2010-04-01,ایرانسل, TOP
شارژ همراه اول,5,2010-04-01,ایرانسل, TOP
irancell,5,2010-04-01,ایرانسل, TOP
ویترین ایرانسل,5,2010-04-01,ایرانسل, TOP
قیمت وایمکس ایرانسل,5,2010-04-01,ایرانسل, TOP
وایمکس ایرانسل قیمت,5,2010-04-01,ایرانسل, TOP
هک ایرانسل,4,2010-04-01,ایرانسل, TOP
کد اهنگ پیشواز ایرانسل,4,2010-04-01,ایرانسل, TOP
کدهای مخفی ایرانسل,Breakout,2010-04-01,ایرانسل, RISING
وای مکس ایرانسل,Breakout,2010-04-01,ایرانسل, RISING
پارس آنلاین,Breakout,2010-04-01,ایرانسل, RISING
استخدام ایرانسل,+150%,2010-04-01,ایرانسل, RISING
شارج ایرانسل,+130%,2010-04-01,ایرانسل, RISING
ثبت نام ایرانسل,+80%,2010-04-01,ایرانسل, RISING
کد اهنگ پیشواز ایرانسل,+60%,2010-04-01,ایرانسل, RISING
ایرانسل wimax,+50%,2010-04-01,ایرانسل, RISING
شارژ همراه اول,100,2010-04-01,همراه اول, TOP
همراه اول سایت,48,2010-04-01,همراه اول, TOP
خرید شارژ همراه اول,31,2010-04-01,همراه اول, TOP
قبض همراه اول,21,2010-04-01,همراه اول, TOP
همراه اول صورتحساب,17,2010-04-01,همراه اول, TOP
کارت شارژ همراه اول,15,2010-04-01,همراه اول, TOP
پردیس همراه اول,14,2010-04-01,همراه اول, TOP
اینترنت همراه اول,12,2010-04-01,همراه اول, TOP
شارژ اینترنتی همراه اول,12,2010-04-01,همراه اول, TOP
سايت همراه اول,11,2010-04-01,همراه اول, TOP
خرید اینترنتی شارژ همراه اول,10,2010-04-01,همراه اول, TOP
خريد شارژ همراه اول,9,2010-04-01,همراه اول, TOP
خدمات همراه اول,8,2010-04-01,همراه اول, TOP
شارژ ایرانسل,8,2010-04-01,همراه اول, TOP
پرداخت قبض همراه اول,7,2010-04-01,همراه اول, TOP
شارز همراه اول,7,2010-04-01,همراه اول, TOP
صورت حساب همراه اول,7,2010-04-01,همراه اول, TOP
ايرانسل,6,2010-04-01,همراه اول, TOP
اينترنت همراه اول,6,2010-04-01,همراه اول, TOP
خرید شارژ ایرانسل,6,2010-04-01,همراه اول, TOP
قبض موبایل همراه اول,6,2010-04-01,همراه اول, TOP
خريد كارت شارژ همراه اول,5,2010-04-01,همراه اول, TOP
كارت شارژ همراه اول,5,2010-04-01,همراه اول, TOP
خرید کارت شارژ همراه اول,4,2010-04-01,همراه اول, TOP
اسامی برندگان همراه اول,4,2010-04-01,همراه اول, TOP
mci.ir,Breakout,2010-04-01,همراه اول, RISING
اينترنت همراه اول,+200%,2010-04-01,همراه اول, RISING
خرید اینترنتی شارژ همراه اول,+100%,2010-04-01,همراه اول, RISING
پرداخت قبض همراه اول,+80%,2010-04-01,همراه اول, RISING
فعال کردن gprs همراه اول,+50%,2010-04-01,همراه اول, RISING
ایرانسل شارژ,100,2010-05-01,ایرانسل, TOP
خرید,52,2010-05-01,ایرانسل, TOP
خرید شارژ ایرانسل,42,2010-05-01,ایرانسل, TOP
کارت شارژ ایرانسل,20,2010-05-01,ایرانسل, TOP
ایرانسل وایمکس,15,2010-05-01,ایرانسل, TOP
ایرانسل شارژ رایگان,10,2010-05-01,ایرانسل, TOP
شارز ایرانسل,10,2010-05-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,9,2010-05-01,ایرانسل, TOP
آهنگ پیشواز ایرانسل,8,2010-05-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,7,2010-05-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,7,2010-05-01,ایرانسل, TOP
ثبت نام ایرانسل,7,2010-05-01,ایرانسل, TOP
شارژ همراه اول,6,2010-05-01,ایرانسل, TOP
کدهای ایرانسل,6,2010-05-01,ایرانسل, TOP
خرید اینترنتی شارژ ایرانسل,5,2010-05-01,ایرانسل, TOP
اینترنت رایگان ایرانسل,5,2010-05-01,ایرانسل, TOP
irancell,5,2010-05-01,ایرانسل, TOP
شرکت ایرانسل,4,2010-05-01,ایرانسل, TOP
ویترین ایرانسل,4,2010-05-01,ایرانسل, TOP
خرید شارز ایرانسل,4,2010-05-01,ایرانسل, TOP
ترفند ایرانسل,4,2010-05-01,ایرانسل, TOP
هک ایرانسل,4,2010-05-01,ایرانسل, TOP
انتقال شارژ ایرانسل,3,2010-05-01,ایرانسل, TOP
کد اهنگ پیشواز ایرانسل,3,2010-05-01,ایرانسل, TOP
خرید شارژ همراه اول,3,2010-05-01,ایرانسل, TOP
فعال کردن سیم کارت ایرانسل,Breakout,2010-05-01,ایرانسل, RISING
irancell.ir,+250%,2010-05-01,ایرانسل, RISING
اینترنت رایگان ایرانسل,+200%,2010-05-01,ایرانسل, RISING
ایرانسل شارژ رایگان,+190%,2010-05-01,ایرانسل, RISING
سایت همراه اول,+130%,2010-05-01,ایرانسل, RISING
www.irancell.ir,+120%,2010-05-01,ایرانسل, RISING
طرح قرمز ایرانسل,+60%,2010-05-01,ایرانسل, RISING
آهنگ پیشواز ایرانسل,+60%,2010-05-01,ایرانسل, RISING
خرید شارز ایرانسل,+50%,2010-05-01,ایرانسل, RISING
انتقال شارژ ایرانسل,+50%,2010-05-01,ایرانسل, RISING
همراه اول شارژ,100,2010-05-01,همراه اول, TOP
همراه اول سایت,38,2010-05-01,همراه اول, TOP
خرید شارژ همراه اول,29,2010-05-01,همراه اول, TOP
ایرانسل,22,2010-05-01,همراه اول, TOP
قبض همراه اول,16,2010-05-01,همراه اول, TOP
پردیس همراه اول,14,2010-05-01,همراه اول, TOP
صورتحساب همراه اول,13,2010-05-01,همراه اول, TOP
سايت همراه اول,13,2010-05-01,همراه اول, TOP
شارژ ایرانسل,12,2010-05-01,همراه اول, TOP
اینترنت همراه اول,11,2010-05-01,همراه اول, TOP
خرید کارت شارژ همراه اول,10,2010-05-01,همراه اول, TOP
خريد شارژ همراه اول,10,2010-05-01,همراه اول, TOP
مخابرات,9,2010-05-01,همراه اول, TOP
قرعه کشی همراه اول,8,2010-05-01,همراه اول, TOP
خدمات همراه اول,7,2010-05-01,همراه اول, TOP
شارز همراه اول,7,2010-05-01,همراه اول, TOP
شارژ اینترنتی همراه اول,7,2010-05-01,همراه اول, TOP
صورت حساب همراه اول,6,2010-05-01,همراه اول, TOP
قبض موبایل همراه اول,5,2010-05-01,همراه اول, TOP
خرید اینترنتی شارژ همراه اول,4,2010-05-01,همراه اول, TOP
خريد كارت شارژ همراه اول,4,2010-05-01,همراه اول, TOP
سایت ایرانسل,4,2010-05-01,همراه اول, TOP
پرداخت قبض همراه اول,3,2010-05-01,همراه اول, TOP
شارژ رایگان همراه اول,3,2010-05-01,همراه اول, TOP
خرید شارژ ایرانسل,3,2010-05-01,همراه اول, TOP
سایت ایرانسل,+300%,2010-05-01,همراه اول, RISING
خرید کارت شارژ همراه اول,+90%,2010-05-01,همراه اول, RISING
شارژ ایرانسل,+50%,2010-05-01,همراه اول, RISING
شارژ رایگان همراه اول,+50%,2010-05-01,همراه اول, RISING
خريد شارژ همراه اول,+50%,2010-05-01,همراه اول, RISING
شارژ,100,2010-06-01,ایرانسل, TOP
شارژ ایرانسل,100,2010-06-01,ایرانسل, TOP
خرید شارژ ایرانسل,46,2010-06-01,ایرانسل, TOP
سایت ایرانسل,30,2010-06-01,ایرانسل, TOP
کارت شارژ ایرانسل,19,2010-06-01,ایرانسل, TOP
اینترنت ایرانسل,13,2010-06-01,ایرانسل, TOP
خرید کارت شارژ,12,2010-06-01,ایرانسل, TOP
خرید کارت شارژ ایرانسل,12,2010-06-01,ایرانسل, TOP
وایمکس ایرانسل,11,2010-06-01,ایرانسل, TOP
ویترین ایرانسل,9,2010-06-01,ایرانسل, TOP
شارژ اینترنتی ایرانسل,9,2010-06-01,ایرانسل, TOP
ایرانسل ثبت نام,9,2010-06-01,ایرانسل, TOP
شارز ایرانسل,9,2010-06-01,ایرانسل, TOP
خرید اینترنتی شارژ ایرانسل,7,2010-06-01,ایرانسل, TOP
شارژ رایگان ایرانسل,6,2010-06-01,ایرانسل, TOP
شارژ همراه اول,6,2010-06-01,ایرانسل, TOP
اهنگ پیشواز ایرانسل,5,2010-06-01,ایرانسل, TOP
irancell,4,2010-06-01,ایرانسل, TOP
کدهای ایرانسل,4,2010-06-01,ایرانسل, TOP
خرید شارز ایرانسل,3,2010-06-01,ایرانسل, TOP
خدمات ایرانسل,3,2010-06-01,ایرانسل, TOP
ترفند ایرانسل,3,2010-06-01,ایرانسل, TOP
ترفندهای ایرانسل,3,2010-06-01,ایرانسل, TOP
کد اهنگ پیشواز ایرانسل,3,2010-06-01,ایرانسل, TOP
پورتال ایرانسل,3,2010-06-01,ایرانسل, TOP
irancel,Breakout,2010-06-01,ایرانسل, RISING
www.irancell.ir,Breakout,2010-06-01,ایرانسل, RISING
irancell.ir,Breakout,2010-06-01,ایرانسل, RISING
خرید کارت شارژ همراه اول,+170%,2010-06-01,ایرانسل, RISING
ثبت نام سیم کارت ایرانسل,+130%,2010-06-01,ایرانسل, RISING
خرید کارت شارز ایرانسل,+110%,2010-06-01,ایرانسل, RISING
سایت بانک ملی,+90%,2010-06-01,ایرانسل, RISING
ویترین ایرانسل,+80%,2010-06-01,ایرانسل, RISING
خرید اینترنتی کارت شارژ ایرانسل,+70%,2010-06-01,ایرانسل, RISING
سایت همراه اول,+50%,2010-06-01,ایرانسل, RISING
ترفندهای ایرانسل,+40%,2010-06-01,ایرانسل, RISING
شارژ همراه اول,100,2010-06-01,همراه اول, TOP
همراه اول سایت,58,2010-06-01,همراه اول, TOP
اینترنت همراه اول,33,2010-06-01,همراه اول, TOP
خرید شارژ همراه اول,30,2010-06-01,همراه اول, TOP
قبض همراه اول,22,2010-06-01,همراه اول, TOP
برندگان همراه اول,21,2010-06-01,همراه اول, TOP
کارت شارژ همراه اول,19,2010-06-01,همراه اول, TOP
سايت همراه اول,19,2010-06-01,همراه اول, TOP
قرعه کشی همراه اول,13,2010-06-01,همراه اول, TOP
mci,11,2010-06-01,همراه اول, TOP
مخابرات,10,2010-06-01,همراه اول, TOP
همراه اول صورتحساب,9,2010-06-01,همراه اول, TOP
اسامی برندگان همراه اول,9,2010-06-01,همراه اول, TOP
شارز همراه اول,8,2010-06-01,همراه اول, TOP
كارت شارژ همراه اول,8,2010-06-01,همراه اول, TOP
خرید کارت شارژ همراه اول,8,2010-06-01,همراه اول, TOP
www.mci.ir,8,2010-06-01,همراه اول, TOP
خريد شارژ همراه اول,8,2010-06-01,همراه اول, TOP
شارژ اینترنتی همراه اول,7,2010-06-01,همراه اول, TOP
پرداخت قبض همراه اول,7,2010-06-01,همراه اول, TOP
خدمات همراه اول,7,2010-06-01,همراه اول, TOP
mci.ir,7,2010-06-01,همراه اول, TOP
مسابقه همراه اول,7,2010-06-01,همراه اول, TOP
اينترنت همراه اول,6,2010-06-01,همراه اول, TOP
صورت حساب همراه اول,6,2010-06-01,همراه اول, TOP
مسابقه همراه اول,Breakout,2010-06-01,همراه اول, RISING
بسته رویایی همراه اول,Breakout,2010-06-01,همراه اول, RISING
فعال کردن اینترنت همراه اول,Breakout,2010-06-01,همراه اول, RISING
اسامي برندگان همراه اول,Breakout,2010-06-01,همراه اول, RISING
اینترنت نامحدود همراه اول,Breakout,2010-06-01,همراه اول, RISING
نتایج قرعه کشی همراه اول,Breakout,2010-06-01,همراه اول, RISING
فعال سازی اینترنت همراه اول,Breakout,2010-06-01,همراه اول, RISING
